"","Met","p-value"
"1","age","0.639003947659504"
"2","heart_rate","0.00345253172375789"
"3","MAP","0.374349909622511"
"4","SBP","0.236839174386152"
"5","BMI","0.393682929803575"
"6","HbA1c","5.92743936875186e-12"
"7","BUN","0.267382575964328"
"8","Cr","0.809265749115154"
"9","BUN/Cr","0.106536202914618"
"10","HDL","0.206085579333795"
"11","LDL","0.00839128797339979"
"12","Triglycerides","0.888321210464171"
"13","Cholesterol","0.0145756237459992"
"14","NEFA","0.568119990199735"
"15","Glucose","0.00654599504093797"
"16","Ketone","0.267046384250626"
"17","Insulin","0.396551496596125"
"18","Adiponectin","0.848730084625653"
"19","Leptin","0.867673848467559"
"20","RAGE","0.0845089315544791"
