"","Min","Max","Median","Mean","SD","N"
"age",57,81,71.5,71.4,6.18,40
"heart_rate",50,100,69,70.58,10.75,40
"MAP",58,127,95.5,95.09,12.35,40
"SBP",105,187,145.5,146.4,22.48,40
"BMI",20.8,45.2,27.95,29.66,6.21,40
"HbA1c",4.9,10,5.85,6.29,1.27,40
"BUN",9,31,15,16.77,5.13,40
"Cr",0.5,1.9,1,1.01,0.27,40
"BUN/Cr",9,26,16,17.05,4.15,40
"HDL",35,118,55,59.42,19.24,40
"LDL",37,143,86,89.12,28.54,40
"Triglycerides",98.19,265.12,137.21,145.95,41.52,40
"Cholesterol",144.03,301.71,207.51,207.46,35.48,40
"NEFA",0.45,1.71,0.99,0.99,0.25,40
"Glucose",75.85,181.71,90.61,99.55,25.29,40
"Ketone",0.02,1.47,0.09,0.15,0.23,40
"Insulin",0.97,128.85,9.71,18.26,24.17,40
"Adiponectin",1.09,32.2,8.26,11.19,8.86,40
"Leptin",1.51,65,23.12,25.44,16.17,40
"RAGE",3.89,39.13,12.01,12.59,5.87,40
"CSF_TOT_OD",234,382,271,274.1,25.88,40
"CSF_NFL_OD",8,18,13,12.4,2.33,40
"CSF_(GCL-IPL)_OD",23,65,33,36.42,8.64,40
"CSF_INL_OD",12,41,21.5,21.75,6.21,40
"CSF_ORT_OD",46,124,68,70.75,15.67,40
"SI_TOT_OD",296,370,332,334.68,16.28,40
"SI_NFL_OD",18,37,23,23.5,3.13,40
"SI_(GCL-IPL)_OD",72,113,89,88.92,8.54,40
"SI_INL_OD",33,52,40.5,41.2,4.19,40
"SI_ORT_OD",95,131,116,114.97,7.88,40
"SO_TOT_OD",266,313,287,290.4,14.01,40
"SO_NFL_OD",30,54,37,37.38,4.86,40
"SO_(GCL-IPL)_OD",49,70,57.5,58.4,5.57,40
"SO_INL_OD",27,36,31,30.82,2.17,40
"SO_ORT_OD",79,111,98.5,97.97,7.94,40
"NI_TOT_OD",298,380,335.5,336.88,17.32,40
"NI_NFL_OD",16,36,20,20.77,3.15,40
"NI_(GCL-IPL)_OD",73,117,89,88.47,8.69,40
"NI_INL_OD",33,52,41,41.2,4.61,40
"NI_ORT_OD",102,135,122,120.58,8.57,40
"NO_TOT_OD",268,345,301,304.92,15.93,40
"NO_NFL_OD",35,66,45,47.48,6.02,40
"NO_(GCL-IPL)_OD",50,79,62,62.02,6.59,40
"NO_INL_OD",29,38,33,33.08,2.26,40
"NO_ORT_OD",78,116,98,97.65,8.84,40
"II_TOT_OD",291,379,330,331.9,17.18,40
"II_NFL_OD",19,35,23,23.68,3.23,40
"II_(GCL-IPL)_OD",70,111,86,87.8,9.21,40
"II_INL_OD",34,49,41,40.83,4.08,40
"II_ORT_OD",96,127,116.5,114.6,8.49,40
"IO_TOT_OD",252,308,279,280.95,14.87,40
"IO_NFL_OD",18,52,36.5,37.35,6.68,40
"IO_(GCL-IPL)_OD",48,72,56,57.9,6.14,40
