"","V1","V2","V3"
"group","Control","DM","Prediabetes"
"heart_rate_median","68.0","77.5","66.0"
"MAP_median","95.0","95.0","98.5"
"SBP_median","150","139","152"
"BMI_median","27.15","31.05","25.70"
"HbA1c_median","5.40","7.55","6.00"
"BUN_median","14.0","16.5","14.5"
"Cr_median","0.95","1.00","0.95"
"BUN/Cr_median","15.5","19.0","16.0"
"HDL_median","60.5","52.0","53.0"
"LDL_median","93.5","69.0","92.5"
"Triglycerides_median","131.2660","137.9845","140.8270"
"Cholesterol_median","224.2320","191.1265","208.8735"
"NEFA_median","0.9265","1.0000","0.9970"
"Glucose_median"," 87.6825","108.1710"," 90.8535"
"Ketone_median","0.1160","0.0945","0.0845"
"Insulin_median","12.7180","14.0715"," 9.2450"
"Adiponectin_median","7.9805","7.2545","9.0810"
"Leptin_median","18.6295","24.7940","21.7360"
"RAGE_median","11.0145","13.0220","11.2445"
"CSF_TOT_OD_median","276.5","273.5","266.0"
"CSF_NFL_OD_median","13.5","12.5","13.0"
"CSF_(GCL-IPL)_OD_median","34.0","36.5","33.0"
"CSF_INL_OD_median","21.0","24.5","18.5"
"CSF_ORT_OD_median","67.5","75.5","67.5"
"SI_TOT_OD_median","330.5","336.0","330.0"
"SI_NFL_OD_median","23.5","23.5","22.5"
"SI_(GCL-IPL)_OD_median","87.5","89.5","88.5"
"SI_INL_OD_median","41.0","40.0","40.5"
"SI_ORT_OD_median","117.0","116.0","114.5"
"SO_TOT_OD_median","288.5","287.0","288.0"
"SO_NFL_OD_median","37.5","36.0","36.5"
"SO_(GCL-IPL)_OD_median","56.0","58.0","59.5"
"SO_INL_OD_median","31.0","30.5","31.0"
"SO_ORT_OD_median","98.5","98.5","96.5"
"NI_TOT_OD_median","335","340","332"
"NI_NFL_OD_median","20.5","20.0","20.5"
"NI_(GCL-IPL)_OD_median","89.0","89.5","89.5"
"NI_INL_OD_median","42.0","40.5","41.0"
"NI_ORT_OD_median","123.5","122.5","119.5"
"NO_TOT_OD_median","300","303","301"
"NO_NFL_OD_median","48.0","46.5","45.0"
"NO_(GCL-IPL)_OD_median","57.5","63.0","62.0"
"NO_INL_OD_median","34.0","32.5","33.0"
"NO_ORT_OD_median","99.0","97.5","98.0"
"II_TOT_OD_median","330","333","327"
"II_NFL_OD_median","23.0","23.5","23.0"
"II_(GCL-IPL)_OD_median","85","87","86"
"II_INL_OD_median","42.0","39.0","40.5"
"II_ORT_OD_median","117","118","114"
"IO_TOT_OD_median","275.5","281.0","281.0"
"IO_NFL_OD_median","34.5","38.0","35.5"
"IO_(GCL-IPL)_OD_median","55.0","58.5","56.0"
"IO_INL_OD_median","32","30","31"
"IO_ORT_OD_median","92.0","91.5","90.5"
"TI_TOT_OD_median","321.0","324.5","317.5"
"TI_NFL_OD_median","16","17","17"
"TI_(GCL-IPL)_OD_median","85.0","84.5","80.5"
"TI_INL_OD_median","38.5","38.0","37.5"
"TI_ORT_OD_median","119.0","115.5","117.5"
"TO_TOT_OD_median","272.5","275.0","271.0"
"TO_NFL_OD_median","18","19","18"
"TO_(GCL-IPL)_OD_median","62.5","65.0","62.5"
"TO_INL_OD_median","32.0","32.5","32.0"
"TO_ORT_OD_median","96.5","94.5","93.5"
"CSF_TOT_OS_median","278.5","289.5","259.5"
"CSF_NFL_OS_median","13.5","13.0","12.0"
"CSF_(GCL-IPL)_OS_median","37.5","38.0","34.0"
"CSF_INL_OS_median","22.0","25.5","21.0"
"CSF_ORT_OS_median","138.5","133.5","131.0"
"SI_TOT_OS_median","328.0","340.5","325.5"
"SI_NFL_OS_median","24.0","22.5","23.0"
"SI_(GCL-IPL)_OS_median","87","88","87"
"SI_INL_OS_median","42.0","41.5","40.5"
"SI_ORT_OS_median","117.0","117.5","113.0"
"SO_TOT_OS_median","284.0","292.0","285.5"
"SO_NFL_OS_median","35","36","37"
"SO_(GCL-IPL)_OS_median","56.5","61.0","57.5"
"SO_INL_OS_median","31","31","29"
"SO_ORT_OS_median","97.5","99.0","96.5"
"NI_TOT_OS_median","332.5","339.0","328.5"
"NI_NFL_OS_median","20","20","19"
"NI_(GCL-IPL)_OS_median","89.5","89.0","85.5"
"NI_INL_OS_median","43","41","40"
"NI_ORT_OS_median","124.0","118.5","114.5"
"NO_TOS_OS_median","299.5","301.5","297.5"
"NO_NFL_OS_median","51.0","52.0","46.5"
"NO_GCL-IPL)_OS_median","59","60","60"
"NO_INL_OS_median","33.5","33.0","32.5"
"NO_ORT_OS_median","95.0","94.5","92.0"
"II_TOT_OS_median","325.0","329.5","326.0"
"II_NFL_OS_median","23.0","23.5","23.0"
"II_(GCL-IPL)_OS_median","85.0","83.0","86.5"
"II_INL_OS_median","41.0","40.5","40.0"
"II_ORT_OS_median","118.0","114.5","110.0"
"IO_TOT_OS_median","279","279","279"
"IO_NFL_OS_median","39.0","37.5","37.5"
"IO_(GCL-IPL)_OS_median","55.0","54.5","55.5"
"IO_INL_OS_median","31.5","30.5","30.0"
"IO_ORT_OS_median","91.0","89.5","90.5"
"TI_TOT_OS_median","318.0","325.5","320.0"
"TI_NFL_OS_median","17.0","17.5","17.0"
"TI_(GCL-IPL)_OS_median","82.0","80.5","77.5"
"TI_INL_OS_median","37","37","37"
"TI_ORT_OS_median","118.5","120.5","114.5"
"TO_TOT_OS_median","273.5","284.5","274.0"
"TO_NFL_OS_median","20.0","20.0","19.5"
"TO_(GCL-IPL)_OS_median","62.5","65.0","61.0"
"TO_INL_OS_median","33.0","33.0","30.5"
"TO_OR_OS_median"," 97.0","100.0"," 93.5"
"heart_rate_mean","65.68750","78.50000","69.16667"
"MAP_mean","97.31250","91.20833","96.00000"
"SBP_mean","151.6250","137.3333","148.5000"
"BMI_mean","29.66250","31.68167","27.64167"
"HbA1c_mean","5.306250","7.891667","5.991667"
"BUN_mean","15.3125","18.5000","17.0000"
"Cr_mean","0.9937500","0.9833333","1.0500000"
"BUN/Cr_mean","15.81250","19.08333","16.66667"
"HDL_mean","66.0625","55.5000","54.5000"
"LDL_mean","99.37500","72.33333","92.25000"
"Triglycerides_mean","142.2082","148.8373","148.0620"
"Cholesterol_mean","225.1706","186.9147","204.3800"
"NEFA_mean","0.9436875","1.0457500","0.9808333"
"Glucose_mean"," 92.75919","117.94717"," 90.20325"
"Ketone_mean","0.22331250","0.11316667","0.08341667"
"Insulin_mean","12.93069","25.44358","18.19192"
"Adiponectin_mean","11.45044","10.02042","12.01775"
"Leptin_mean","27.60000","24.11900","23.88725"
"RAGE_mean","11.43444","15.73908","10.99292"
"CSF_TOT_OD_mean","282.5000","273.8333","263.1667"
"CSF_NFL_OD_mean","13.25000","11.83333","11.83333"
"CSF_(GCL-IPL)_OD_mean","39.75000","35.25000","33.16667"
"CSF_INL_OD_mean","22.37500","22.75000","19.91667"
"CSF_ORT_OD_mean","75.31250","69.83333","65.58333"
