"","V1","V2","V3"
"group","Control","DM","Prediabetes"
"heart_rate_median","68.0","77.5","66.0"
"MAP_median"," 95"," 95","100"
"SBP_median","150","139","152"
"BMI_median","27.15","29.80","25.70"
"HbA1c_median","5.40","7.55","6.00"
"BUN_median","14.0","16.5","14.5"
"Cr_median","0.95","1.00","0.95"
"BUN/Cr_median","15.5","19.0","16.0"
"HDL_median","60.5","52.0","52.0"
"LDL_median","93.5","63.5","93.0"
"Triglycerides_median","128.6820","137.9845","140.8270"
"Cholesterol_median","224.5730","191.1265","208.8735"
"NEFA_median","0.894","1.000","0.997"
"Glucose_median"," 86.3410","108.1710"," 90.8535"
"Ketone_median","0.0630","0.0945","0.0845"
"Insulin_median","12.718","16.922"," 9.219"
"Adiponectin_median","8.4130","7.2545","9.0810"
"Leptin_median","18.479","24.794","21.736"
"RAGE_median","11.3010","13.0220","11.2445"
"CSF_TOT_OD_median","279.0","273.5","263.5"
"CSF_NFL_OD_median","14.0","12.5","12.0"
"CSF_(GCL-IPL)_OD_median","35.0","36.5","33.0"
"CSF_INL_OD_median","21.0","24.5","17.0"
"CSF_ORT_OD_median","68.0","75.5","64.5"
"SI_TOT_OD_median","329","336","326"
"SI_NFL_OD_median","24.0","23.5","23.0"
"SI_(GCL-IPL)_OD_median","89.0","89.5","88.5"
"SI_INL_OD_median","41","40","40"
"SI_ORT_OD_median","117","116","114"
"SO_TOT_OD_median","286.0","287.0","281.5"
"SO_NFL_OD_median","38","36","37"
"SO_(GCL-IPL)_OD_median","57.0","58.0","59.5"
"SO_INL_OD_median","31.0","30.5","30.5"
"SO_ORT_OD_median","98.0","98.5","93.5"
"NI_TOT_OD_median","335","340","324"
"NI_NFL_OD_median","21.5","20.0","20.0"
"NI_(GCL-IPL)_OD_median","90.5","89.5","87.0"
"NI_INL_OD_median","41.5","40.5","40.0"
"NI_ORT_OD_median","123.5","122.5","116.0"
"NO_TOT_OD_median","303","303","299"
"NO_NFL_OD_median","49.5","46.5","45.0"
"NO_(GCL-IPL)_OD_median","57.5","63.0","62.0"
"NO_INL_OD_median","34.0","32.5","33.0"
"NO_ORT_OD_median","99.0","97.5","91.0"
"II_TOT_OD_median","333.5","333.0","323.5"
"II_NFL_OD_median","23.5","23.5","23.5"
"II_(GCL-IPL)_OD_median","86","87","88"
"II_INL_OD_median","42","39","40"
"II_ORT_OD_median","117.0","118.0","112.5"
"IO_TOT_OD_median","276.5","281.0","277.5"
"IO_NFL_OD_median","36","38","37"
"IO_(GCL-IPL)_OD_median","57.0","58.5","56.0"
"IO_INL_OD_median","31.5","30.0","30.5"
"IO_ORT_OD_median","93.0","91.5","89.0"
"TI_TOT_OD_median","324.0","324.5","313.0"
"TI_NFL_OD_median","16.0","17.0","16.5"
"TI_(GCL-IPL)_OD_median","86.0","84.5","81.5"
"TI_INL_OD_median","38.0","38.0","36.5"
"TI_ORT_OD_median","119.0","115.5","115.5"
"TO_TOT_OD_median","274","275","269"
"TO_NFL_OD_median","18","19","18"
"TO_(GCL-IPL)_OD_median","63","65","63"
"TO_INL_OD_median","32.0","32.5","32.0"
"TO_ORT_OD_median","97.0","94.5","92.0"
"CSF_TOT_OS_median","278.5","289.5","259.5"
"CSF_NFL_OS_median","13","13","12"
"CSF_(GCL-IPL)_OS_median","37.5","38.0","34.0"
"CSF_INL_OS_median","21.5","25.5","21.0"
"CSF_ORT_OS_median","136.0","133.5","131.0"
"SI_TOT_OS_median","325.0","340.0","325.5"
"SI_NFL_OS_median","23.5","22.0","23.0"
"SI_(GCL-IPL)_OS_median","85.5","86.0","87.0"
"SI_INL_OS_median","42.0","41.0","40.5"
"SI_ORT_OS_median","115.5","117.0","113.0"
"SO_TOT_OS_median","283.0","291.0","285.5"
"SO_NFL_OS_median","35.5","36.0","37.0"
"SO_(GCL-IPL)_OS_median","56.0","61.0","57.5"
"SO_INL_OS_median","31","30","29"
"SO_ORT_OS_median","96.5","99.0","96.5"
"NI_TOT_OS_median","330.5","339.0","326.0"
"NI_NFL_OS_median","20","20","19"
"NI_(GCL-IPL)_OS_median","88","88","85"
"NI_INL_OS_median","42.5","40.0","40.0"
"NI_ORT_OS_median","122","118","114"
"NO_TOS_OS_median","296","300","297"
"NO_NFL_OS_median","48.5","52.0","46.0"
"NO_GCL-IPL)_OS_median","58","60","60"
"NO_INL_OS_median","33","33","32"
"NO_ORT_OS_median","95","94","89"
"II_TOT_OS_median","323.5","329.5","326.0"
"II_NFL_OS_median","23.0","23.5","23.0"
"II_(GCL-IPL)_OS_median","84.0","83.0","86.5"
"II_INL_OS_median","41.0","40.5","40.0"
"II_ORT_OS_median","114.5","114.5","110.0"
"IO_TOT_OS_median","279","279","279"
"IO_NFL_OS_median","39.0","37.5","37.5"
"IO_(GCL-IPL)_OS_median","54.5","54.5","55.5"
"IO_INL_OS_median","31.0","30.5","30.0"
"IO_ORT_OS_median","90.5","89.5","90.5"
"TI_TOT_OS_median","314.5","324.0","320.0"
"TI_NFL_OS_median","17","17","17"
"TI_(GCL-IPL)_OS_median","80.0","79.0","77.5"
"TI_INL_OS_median","36.5","37.0","37.0"
"TI_ORT_OS_median","116.5","120.0","114.5"
"TO_TOT_OS_median","272.5","284.0","274.0"
"TO_NFL_OS_median","20.0","20.0","19.5"
"TO_(GCL-IPL)_OS_median","61.5","64.0","61.0"
"TO_INL_OS_median","33.0","33.0","30.5"
"TO_OR_OS_median"," 95.5","100.0"," 93.5"
"heart_rate_mean","65.68750","78.50000","68.54545"
"MAP_mean","97.31250","90.40909","96.00000"
"SBP_mean","151.6250","137.3333","148.5000"
"BMI_mean","29.66250","31.62545","27.81818"
"HbA1c_mean","5.306250","7.891667","5.991667"
"BUN_mean","15.3125","18.5000","17.0000"
"Cr_mean","0.9937500","0.9833333","1.0500000"
"BUN/Cr_mean","15.81250","19.08333","16.66667"
"HDL_mean","66.06250","55.50000","54.45455"
"LDL_mean","99.37500","64.80000","93.09091"
"Triglycerides_mean","142.1453","148.8373","148.0620"
"Cholesterol_mean","226.0751","186.9147","204.3800"
"NEFA_mean","0.9403333","1.0457500","0.9808333"
"Glucose_mean"," 92.39027","117.94717"," 90.20325"
"Ketone_mean","0.22693333","0.11316667","0.08341667"
"Insulin_mean","13.14214","26.89909","18.96400"
"Adiponectin_mean","11.78700","10.02042","12.01775"
"Leptin_mean","27.14433","24.11900","23.88725"
"RAGE_mean","11.48153","15.73908","10.99292"
"CSF_TOT_OD_mean","283.2667","273.8333","262.2000"
"CSF_NFL_OD_mean","13.26667","11.83333","11.60000"
"CSF_(GCL-IPL)_OD_mean","40.20","35.25","33.20"
"CSF_INL_OD_mean","22.40","22.75","19.80"
"CSF_ORT_OD_mean","75.86667","69.83333","64.60000"
"SI_TOT_OD_mean","334.4667","334.0833","330.9000"
"SI_NFL_OD_mean","24.26667","23.41667","22.90000"
