"","Min","Max","Median","Mean","SD","N"
"CSF_TOT",231,382,273,275.53,25.89,75
"CSF_NFL",8,35,13,12.88,3.37,75
"CSF_(GCL-IPL)",23,91,36,37.19,10.45,75
"CSF_INL",10,41,22,22.05,6.27,75
"CSF_ORT",46,166,118,103.09,34.93,75
"SI_TOT",296,370,330,332.01,14.43,74
"SI_NFL",18,37,23,23.54,3.12,74
"SI_(GCL-IPL)",72,113,88,87.58,8.02,74
"SI_INL",33,55,41,41.23,4.36,74
"SI_ORT",92,136,114.5,114.62,8.69,74
"SO_TOT",266,340,285.5,288.93,13.81,74
"SO_NFL",29,54,37,37.64,5.34,74
"SO_(GCL-IPL)",48,76,57,58.15,5.65,74
"SO_INL",25,37,31,30.65,2.37,74
"SO_ORT",77,120,97,97.51,7.92,74
"NI_TOT",298,380,334,334.48,15.59,71
"NI_NFL",16,48,20,21,4.34,71
"NI_(GCL-IPL)",71,117,88,87.62,8.72,71
"NI_INL",33,55,41,41.11,4.83,71
"NI_ORT",102,140,119,119.08,9.04,71
"NO_TOT",267,345,300,301.66,15.02,71
"NO_NFL",35,84,47,48.48,7.81,71
"NO_(GCL-IPL)",49,79,60,60.42,6.31,71
"NO_INL",27,45,33,32.76,2.81,71
"NO_ORT",0,128,95,94.22,14.63,72
"II_TOT",291,379,328.5,329.5,15.93,74
"II_NFL",18,48,23,23.99,4.2,74
"II_(GCL-IPL)",68,111,86,86.31,8.83,74
"II_INL",31,51,40,40.82,4.38,74
"II_ORT",94,135,114,113.74,9.39,74
"IO_TOT",250,309,279,280.5,14.5,74
"IO_NFL",18,63,38,38.07,6.76,74
"IO_(GCL-IPL)",45,72,55.5,57.31,6.01,74
"IO_INL",25,37,31,30.54,2.33,74
"IO_ORT",74,203,91,92.72,15.42,74
"TI_TOT",284,380,321,321.46,16.39,74
"TI_NFL",11,27,17,17.36,2.09,74
"TI_(GCL-IPL)",66,110,81.5,82.78,9.36,74
"TI_INL",28,49,37,37.61,4.18,74
"TI_ORT",97,150,117,117.86,8.57,74
"TO_TOT",252,317,273.5,276.66,14.71,74
"TO_NFL",15,29,19,19.38,2.15,74
"TO_(GCL-IPL)",51,78,63,63.68,5.99,74
"TO_INL",28,38,32,32.27,2.36,74
"TO_ORT",75,116,95,96.23,8.19,74
