"","V1","V2","V3"
"group","Control","DM","Prediabetes"
"CSF_TOT_median","279.0","277.5","262.5"
"CSF_NFL_median","13","13","12"
"CSF_(GCL-IPL)_median","37.0","38.0","33.5"
"CSF_INL_median","21.0","24.5","19.5"
"CSF_ORT_median","118.0","101.5","118.0"
"SI_TOT_median","327.0","339.0","325.5"
"SI_NFL_median","24","23","23"
"SI_(GCL-IPL)_median","86","89","88"
"SI_INL_median","41","41","40"
"SI_ORT_median","117","116","114"
"SO_TOT_median","284","290","285"
"SO_NFL_median","37","36","37"
"SO_(GCL-IPL)_median","56","61","58"
"SO_INL_median","31","30","30"
"SO_ORT_median","97.0","99.0","94.5"
"NI_TOT_median","332.5","339.0","325.5"
"NI_NFL_median","20.5","20.0","19.5"
"NI_(GCL-IPL)_median","89.0","89.0","85.5"
"NI_INL_median","42","40","40"
"NI_ORT_median","123.0","120.0","114.5"
"NO_TOT_median","298.0","301.0","297.5"
"NO_NFL_median","49.5","48.0","45.5"
"NO_(GCL-IPL)_median","57.5","62.0","60.0"
"NO_INL_median","33.5","33.0","32.5"
"NO_ORT_median","96.0","96.0","90.5"
"II_TOT_median","327","331","325"
"II_NFL_median","23.5","23.5","23.0"
"II_(GCL-IPL)_median","85","86","87"
"II_INL_median","41.5","39.0","40.0"
"II_ORT_median","117","116","112"
"IO_TOT_median","278","280","279"
"IO_NFL_median","37.5","38.0","37.5"
"IO_(GCL-IPL)_median","55.0","56.5","56.0"
"IO_INL_median","31","30","30"
"IO_ORT_median","91.0","90.5","89.5"
"TI_TOT_median","318","324","319"
"TI_NFL_median","17","17","17"
"TI_(GCL-IPL)_median","84.0","82.0","79.5"
"TI_INL_median","37","37","37"
"TI_ORT_median","118","119","115"
"TO_TOT_median","273.0","277.0","272.5"
"TO_NFL_median","19","19","19"
"TO_(GCL-IPL)_median","62","65","62"
"TO_INL_median","33","33","31"
"TO_ORT_median","96","97","92"
"CSF_TOT_mean","280.9310","279.9167","263.6364"
"CSF_NFL_mean","13.27586","13.16667","12.04545"
"CSF_(GCL-IPL)_mean","39.44828","37.95833","33.36364"
"CSF_INL_mean","22.10345","24.00000","19.86364"
"CSF_ORT_mean","104.5517","102.9167","101.3636"
"SI_TOT_mean","332.3793","334.9130","328.5000"
"SI_NFL_mean","24.06897","23.47826","22.90909"
"SI_(GCL-IPL)_mean","86.96552","88.13043","87.81818"
"SI_INL_mean","41.58621","41.69565","40.27273"
"SI_ORT_mean","114.5517","116.0870","113.1818"
"SO_TOT_mean","287.8621","292.3913","286.7273"
"SO_NFL_mean","38.37931","37.21739","37.09091"
"SO_(GCL-IPL)_mean","56.51724","59.86957","58.50000"
"SO_INL_mean","30.75862","30.82609","30.31818"
"SO_ORT_mean","97.27586","98.82609","96.45455"
"NI_TOT_mean","337.3214","337.1739","327.4000"
"NI_NFL_mean","21.35714","21.86957","19.50000"
"NI_(GCL-IPL)_mean","88.32143","87.17391","87.15000"
"NI_INL_mean","41.64286","41.73913","39.65000"
"NI_ORT_mean","119.8571","120.2174","116.7000"
"NO_TOT_mean","302.6786","304.6087","296.8500"
"NO_NFL_mean","49.03571","48.65217","47.50000"
"NO_(GCL-IPL)_mean","59.82143","61.08696","60.50000"
"NO_INL_mean","33.32143","32.78261","31.95000"
"NO_ORT_mean","92.62069","97.08696","93.25000"
"II_TOT_mean","331.2143","331.1667","325.5000"
"II_NFL_mean","24.14286","24.58333","23.13636"
"II_(GCL-IPL)_mean","86.78571","85.08333","87.04545"
"II_INL_mean","41.82143","40.70833","39.68182"
"II_ORT_mean","113.4643","115.6250","112.0455"
"IO_TOT_mean","281.3929","282.2917","277.4091"
"IO_NFL_mean","38.10714","38.58333","37.45455"
"IO_(GCL-IPL)_mean","57.60714","57.45833","56.77273"
"IO_INL_mean","31.14286","30.20833","30.13636"
"IO_ORT_mean","91.53571","91.70833","95.31818"
"TI_TOT_mean","323.3793","323.5217","316.7727"
"TI_NFL_mean","17.17241","17.82609","17.13636"
"TI_(GCL-IPL)_mean","84.13793","82.43478","81.36364"
"TI_INL_mean","37.93103","38.52174","36.22727"
"TI_ORT_mean","118.2069","118.5652","116.6818"
"TO_TOT_mean","275.5172","279.6957","275.0000"
"TO_NFL_mean","19.24138","19.78261","19.13636"
"TO_(GCL-IPL)_mean","62.75862","65.08696","63.40909"
"TO_INL_mean","32.51724","32.43478","31.77273"
"TO_ORT_mean","96.37931","97.13043","95.09091"
"CSF_TOT_sd","28.88886","26.29418","16.77454"
"CSF_NFL_sd","2.297461","4.975301","2.214181"
"CSF_(GCL-IPL)_sd"," 9.507840","13.562990"," 6.298492"
"CSF_INL_sd","6.025807","6.338289","6.081161"
"CSF_ORT_sd","34.06463","35.95760","36.46727"
"SI_TOT_sd","14.45785","15.30868","13.33006"
"SI_NFL_sd","3.594947","3.203259","2.244763"
"SI_(GCL-IPL)_sd","8.351573","8.693280","7.115619"
"SI_INL_sd","4.187714","5.102894","3.731230"
"SI_ORT_sd","9.704882","8.484816","7.531751"
"SO_TOT_sd","11.45090","17.46878","12.20922"
"SO_NFL_sd","6.945779","4.611808","3.351035"
"SO_(GCL-IPL)_sd","5.369362","6.290717","4.896549"
"SO_INL_sd","2.385300","2.405527","2.378202"
"SO_ORT_sd","7.745490","8.845400","7.268505"
"NI_TOT_sd","17.52047","13.98913","12.63412"
"NI_NFL_sd","3.529917","6.047572","2.438723"
"NI_(GCL-IPL)_sd","9.205689","9.227686","7.754625"
"NI_INL_sd","4.596410","5.378555","4.404244"
"NI_ORT_sd","9.640633","8.908405","8.297749"
"NO_TOT_sd","16.20712","16.30042","10.68336"
"NO_NFL_sd"," 7.146520","10.262946"," 5.365582"
"NO_(GCL-IPL)_sd","7.071348","6.741412","4.684802"
"NO_INL_sd","2.611280","3.450382","2.114486"
"NO_ORT_sd","19.75278","11.27714"," 7.93974"
"II_TOT_sd","17.72915","15.94465","13.26560"
